"Time (s)","Acceleration (m/s²)"
9.073969555E1,1.420307159E-2
9.077811566E1,-1.028747559E-1
9.081653576E1,1.789093018E-2
9.085495597E1,3.234004974E-2
9.089337607E1,1.228570938E-1
9.093179628E1,7.669353485E-2
9.097021649E1,1.263065338E-1
9.100863670E1,1.111974716E-1
9.104705691E1,1.953554153E-1
9.108547722E1,1.253852844E-1
9.112389743E1,2.264604568E-1
9.116231774E1,2.571516037E-1
9.120073805E1,2.310791016E-1
9.123915847E1,1.665449142E-1
9.127757878E1,2.715778351E-1
9.131599920E1,3.405761719E-1
9.135441962E1,2.910757065E-1
9.139284003E1,2.593860626E-1
9.143126045E1,2.822961807E-1
9.146968097E1,2.835826874E-1
9.150810149E1,2.378740311E-1
9.154652201E1,2.320632935E-1
9.158494264E1,2.043046951E-1
9.162336316E1,2.398090363E-1
9.166178378E1,2.506265640E-1
9.170020451E1,2.261075974E-1
9.173862514E1,2.411813736E-1
9.177704586E1,2.530193329E-1
9.181546659E1,2.316999435E-1
9.185388732E1,2.073297501E-1
9.189230816E1,1.633663177E-1
9.193072899E1,1.390829086E-1
9.196914982E1,1.331691742E-1
9.200757066E1,2.125053406E-1
9.204599159E1,2.061529160E-1
9.208441253E1,1.611537933E-1
9.212283347E1,1.325502396E-1
9.216125441E1,1.125545502E-1
9.219967534E1,1.229200363E-1
9.223809639E1,1.225442886E-1
9.227651743E1,1.545734406E-1
9.231493847E1,1.063051224E-1
9.235335951E1,7.353687286E-2
9.239178055E1,1.032533646E-1
9.243020170E1,1.220512390E-1
9.246862274E1,8.376407623E-2
9.250704389E1,7.706832886E-2
9.254546503E1,6.076335907E-2
9.258388618E1,2.879714966E-2
9.262230743E1,6.261730194E-2
9.266072857E1,3.052806854E-2
9.269914982E1,7.268905640E-3
9.273757107E1,5.145168304E-2
9.277599232E1,7.828712463E-3
9.281441368E1,-9.449958801E-3
9.285283503E1,-3.004455566E-2
9.289125639E1,1.550865173E-2
9.292967774E1,-6.746292114E-3
9.296809920E1,-4.984283447E-2
9.300652055E1,-5.433273315E-2
9.304494212E1,-3.172779083E-2
9.308336357E1,-1.844882965E-2
9.312178514E1,-4.401874542E-2
9.316020680E1,-4.108238220E-2
9.319862836E1,-2.941799164E-2
9.323705003E1,-6.207084656E-2
9.327547170E1,-7.691097260E-2
9.331389347E1,-5.392169952E-2
9.335231524E1,-2.911376953E-2
9.339073712E1,-3.164100647E-2
9.342915899E1,-5.409622192E-2
9.346758097E1,-6.277370453E-2
9.350600284E1,-4.518413544E-2
9.354442482E1,-2.765083313E-2
9.358284691E1,-3.809833527E-2
9.362126899E1,-3.109455109E-2
9.365969118E1,-1.896667480E-2
9.369811326E1,-2.663421631E-2
9.373653555E1,-6.059646606E-2
9.377495774E1,-6.308555603E-3
9.381338003E1,-8.120536804E-3
9.385180243E1,-8.693695068E-3
9.389022472E1,-6.996154785E-3
9.392864722E1,-3.179550171E-3
9.396706962E1,-1.845359802E-3
9.400549212E1,-1.177215576E-2
9.404391462E1,-3.171920776E-3
9.408233722E1,8.206367493E-3
9.412075982E1,4.313468933E-3
9.415918243E1,-7.143020630E-3
9.419760514E1,-1.224994659E-2
9.423602774E1,-2.147960663E-2
9.427445055E1,-4.907894135E-2
9.431287326E1,-7.260131836E-2
9.435129607E1,-7.334232330E-2
9.438971889E1,-8.184719086E-2
9.442814180E1,-8.643722534E-2
9.446656472E1,-7.732009888E-2
9.450498764E1,-7.439517975E-2
9.454341055E1,-8.506870270E-2
9.458183347E1,-1.006097794E-1
9.462025649E1,-1.519622803E-1
9.465867951E1,-1.596946716E-1
9.469710243E1,-1.590938568E-1
9.473552545E1,-1.764049530E-1
9.477394857E1,-2.104263306E-1
9.481237159E1,-2.310075760E-1
9.485079462E1,-2.144861221E-1
9.488921764E1,-2.325677872E-1
9.492764076E1,-2.248811722E-1
9.496606378E1,-2.043066025E-1
9.500448691E1,-2.442846298E-1
9.504290993E1,-2.983407974E-1
9.508133305E1,-2.728586197E-1
9.511975618E1,-2.658338547E-1
9.515817920E1,-2.737941742E-1
9.519660232E1,-2.756395340E-1
9.523502545E1,-2.170686722E-1
9.527344857E1,-1.836147308E-1
9.531187180E1,-2.417182922E-1
9.535029493E1,-2.557468414E-1
9.538871816E1,-1.839818954E-1
9.542714139E1,-1.907014847E-1
9.546556462E1,-2.025623322E-1
9.550398784E1,-2.069263458E-1
9.554241107E1,-1.864271164E-1
9.558083441E1,-1.639480591E-1
9.561925774E1,-1.117038727E-1
9.565768107E1,-8.751106262E-2
9.569610441E1,-8.726406097E-2
9.573452784E1,-4.794502258E-2
